,tweet
5401,국민의힘 윤리규정 22조에 후보가 기소가되면 즉시 모든 직무를 정지할수 있다는 규정이 있다네요 공수처가 윤석열을 기소하면 다시 홍준표가 국민의힘 후보가 됩니다 20 30 세대 여러분 윤석열이 기소되게 만들어 버리면 홍카콜라가 후보가 됩니다 명심하세요 공수처는 윤석열을 기소하라
5651,김건희 주가조작 소환임박 SK최기원과 화천대유와 수상한거래 윤석열 수사 공수처 독기품었다 foYzaWLUVv via YouTube
5812,SBS 기레기들이 무혐의 공작을 위해 여론조작에 나서는 건가 공수처 고발사주 의혹 조만간 결론 윤석열 무혐의 관측 다음 뉴스 GYwdXdW5yp
5855,씨방새가 관측고사를 지내는구만 공수처 고발사주 의혹 조만간 결론 윤석열 무혐의 관측 출처 SBS 네이버 뉴스 sx59RQeFnF
5935,공수처 윤석열 조만간 소환 한명숙 수사방해 의혹 서면답변 주목 oFIfchH1O6
5946,실체도 없어 보이는 윤석열의 고발사주 의혹을 이렇게까지 끌고 오는 것도 신기한 일이다 sTwHI8bLZR 여권에서 의혹의 정점이라고 봤던 윤 후보에 대한 강제수사나 소환 등 직접적인 수사절차가 진행되지 못한 점에 비춰 공수처가 불기소 결정할 가능성에 무게가 실려 있다 
6018,공수처가 조희연 수사하나를 어쩔 줄 몰라했는데 갑자기 윤석열을 수사한다 했을 때 이상하다 했다 역시나 공수처장의 윤석열이 대통령되면 청장 자리를 노리고 면죄놀이
6116,민주당 박주민과 김용민을 위원장으로 윤석열 일가 부정부패 국민검증 특위 구성 이수진 이게 윤석열식 공정과 상식이냐 검찰은 이정필 검거와 권오수 구속 공수처는 윤석열 직접조사 착수 조성은 손준성은 작년 12월 법정에서 윤석열 지시에 따랐다고 진술했다 0xSW63NzyQ
6193,공수처가 이제 정말 제 역할을 해야 할 때가 왔다 공수처는 윤석열의 졸개가 아니라는 걸 스스로 입증해야 한다 차고 넘치는 증거가 명백히 많은 데도 계속 눈치만 보고 수사를 유야무야 덮으려 한다면 윤석열 선거대책공수처본부로 이름을 바꿔라 공수처 윤석열 구속하라
6308,공수처 자리는 그 자리 차지하고 니들 몸보신 시켜줄려고 만든 자리가 아니다 밥 버러지 같은 공수처 놈들 자리 내놓고 내려와라 최소한 윤석열 지시 거부한 이성윤을 공수처장 자리에 앉혀라 이것들아 고발사주해서 구속지시한 윤도리가 증거가 없어 정황증거 무시하냐 장난해 S0nmTl99he
6354, 아놔 언제는 니들이 증거가 있어서 기소했냐 조국 전장관님 기소할때 사전에 무슨 증거가 있었더라 어라 없었네 의혹만 있고 시간 주면서 증거 없앨 시간 줄때부터 보이더라니 쫄았네등신 공수처 고발사주 의혹 조만간 결론 윤석열 무혐의 관측 다음뉴스 jzFVP1pVIs
6368,공수처 고발사주 의혹 조만간 결론 윤석열 무혐의 관측 k0ZKN9kmDG 씨방새 
6454,공수처 고발사주 의혹 조만간 결론 윤석열 무혐의 관측 SBS뉴스 ITx7c09HO1
6477,공수처 고발사주 의혹 조만간 결론 윤석열 무혐의 관측 그렇다면 그것을 윤석열 치는 뉴스꺼리로 만들어 낸 박지원 조성은 뉴스버스 이진동은 어떻게 처리 하려는가 NWljCHYrcO
6504, ahnv_321 지금부터 시작해도 대장동도 끝을 보기 어려운데 이제와서 쌍툭검하자는 것은 물타기 밖에 안되거든 윤석열은 검찰 공수처가 사상초음으로 조사관까지 탈탈 털고 있는데도 썽툭검하자는 것은 어불성설 
6545, Jaemyung_Lee 윤폭탄이 폭탄주를 현재 4가지 피의자 신분 윤석열씨 공수처가 선거 전 기소하면 국힘당규로 후보 자동해고 모든 방면 미달이 윤석열씨가 대한민국 대통령 후보가 된 것이 외교적 국제망신 이며 적어도 나는 문제인 대통령님께서 쌓아 올리신 대한민국 국격훼손 이다 라고 생각 합니다 
6635, TheBlueHouseKR bjland88 우선 윤석열 이나 최재형 같은 얼라를 고위직에 등용한 책임을 먼저 실토하고 이야기 풀어나가기 바란다 인사가 만사 이 말 적확 하다 대선 앞두고 정치권 눈치보는 공수처 와 검찰청 경찰청 등 행정부 산하 사정기관 제몫 다하도록 엄중 조치해야 한다 나라를 혼란에 빠뜨린 책임 자인하라
6787,공수처 윤석열 조만간 소환 한명숙 수사방해 의혹 서면답변 주목 IQNVVcZRRP
6798,공수처 윤석열 조만간 소환 한명숙 수사방해 의혹 서면답변 주목 w97SVXauhU 尹측 이달 중 제출 징계위 당시 의견 고수할 듯 공수처 의견서 검토 후 尹 소환 여부 결정 방침
7092,스텝 꼬인 공수처 고발사주 수사 윤석열 손준성 역공세 인권침해 하청감찰 여권유착 논란 손준성 측 공정한 수사 기대 불가능 제보사주 수사는 오리무중 윤석열 측 고발인도 수사 정보 전혀 몰라 8uUtOmhKFG
7221,사과하러 간다는 광주에서 폭탄주 마신 윤석열 말이 필요없다 김건희 구속수하하고 윤석열 당장 사퇴 공수처 수사 받아라 與 윤석열 폭탄주 회식 영상공개 제 3자 계산 檢 고발 Fno4mQt7Pt
7389,김종인도 김한길도 민주당관리 실폐하고 국민의 힘당으로 도망간 사람들이 무엇을 성공한다고 윤석열 많은죄목으로 공수처에서 까지 수사를 받고있는 현실을 아직 모르는가 검찰이 아니고 공수처다 
7398,윤석열 사과하러 가서 폭탄주 거짓 해명과 모르쇠 gt 고발사주 한명숙 모해혐의 등 현재 공수처에서 수사중인 사안에 명백한 증거가 나와도 얘도 나 몰라라 할 거다 왜 얘 뒤에는 수 백만의 개 돼지가 있기 때문 
