,tweet
6577,윤석열 사과하러 가서 폭탄주 거짓 해명과 모르쇠 OugLPyx3rm
6622,지상파에는 없는 윤석열의 폭탄주 윤석열의 이재명의 일베 구애 지상파에서는 윤석열의 세상 번듯한 후보
6649,윤석열 사과하러 가서 폭탄주 거짓 해명과 모르쇠 오마이뉴스 모바일 대선출마 못하게 해 6D0xHGCm2m
6658, Mohaniiiiii 좀 있다 윤석열 폭탄주 안마시고 입에만 댓다 라는 기사가 분명히 조중동 1면을 장식할 걸로 
6661,방역 개념은 1도 없는 윤석열 목포에서도 폭탄주 파티 이재명이 이랬다면 언론은 Shorts zE2fY5HGjX YouTube
6665,개장수는 교회에 가서 참회 는 할까 그 참회한 것을 후회하지 않도록 폭탄주로 씻어내는 거지 
6705,윤석열 사과하러 가서 폭탄주 거짓 해명과 모르쇠 광주에 사과하러 가서 목포에서 폭탄주 그리고 거짓 해명 윤석열이 정말 5 18 정신이나 광주의 아픔을 이해한다고 생각하나 KQFUpEccVX
6742,윤석열 사과하러 가서 폭탄주 거짓 해명과 모르쇠 다음 뉴스 YD96BpcTXV
6768,어허 오햅니다 윤석열 후보님께서 마시고 있는 건 폭탄주가 아니라 본인의 오줌입니다 윤석열 후보님께선 사과하러 간 그날 밤 폭탄주 마실만큼 소시오패스가 아니십니다
6809,억울하게 죽은 광주의 영혼들을 달래려고 마신 것이다 그렇지 윤가 새끼야 윤석열 사과하러 가서 폭탄주 거짓 해명과 모르쇠 1LNw2Ylb5w
6813,윤석열 사과하러 가서 폭탄주 거짓 해명과 모르쇠 다음 뉴스 K2KqCAH21S
6867,윤석열 폭탄주 둘러싼 쟁점 정리 식사비 냈다 해명만 반복 윤석열 사과하러 가서 폭탄주 거짓 해명과 모르쇠 다음 뉴스 hB2T6tf6g0
6956,석열아 니 손목아지로 들고 있는 것은 폭탄주가 아니고 뭐냐 탄도미사일주 잔이 냐 후보라는 놈이나 선대위원이라는 놈들 이나 하나 같이 돌들이지 그래서 石列이 냐 돌들을 세워 놓은 돌 줄 윤석열 사과하러 가서 폭탄주 거짓 해명과 모르쇠 다음 뉴스 gK8dalKwK7
6960,윤석열 사과하러 가서 폭탄주 거짓 해명과 모르쇠 출처 오마이뉴스 네이버 뉴스 zJud37Rclf
7006,RT ohmynews_korea 윤석열 사과하러 가서 폭탄주 거짓 해명과 모르쇠 윤석열 폭탄주 소중한 기자 E5qlHZSM98
